title	issn	issn2	is_ajol	is_scopus	is_wos	is_ulrich
svu international journal of veterinary sciences	2535-1826	2535-1877	0	0	0	1
tanzania journal of forestry and nature conservation	2408-8129	2408-8137	1	0	0	1
journal of applied surfaces and interfaces	2550-4800	NULL	0	0	0	1
journal of building materials and structures	2600-6936	2353-0057	0	0	0	1
revue dhistoire mediterraneenne	2716-764X	2716-7747	0	0	0	1
revue alijtihed	2437-0754	2335-1039	0	0	0	1
management economics research journal	2676-184X	2710-8856	0	0	0	1
tanzania journal of health research	1821-6404	1821-9241	1	0	0	0
alhitab	1112-7082	2602-5310	0	0	0	1
tanzania journal of science	0856-1761	2507-7961	1	0	0	1
journal marocain de chimie heterocyclique	2605-5996	NULL	0	0	0	1
ain shams university archives of pharmaceutical sciences	2356-8399	2356-8380	0	0	0	1
journal of scientific research in science	2356-8364	NULL	0	0	0	1
journal of scientific research in education	2356-8356	NULL	0	0	0	1
archivesr	2537-0154	2537-0162	0	0	0	1
moroccan journal of quantitative and qualitative research	2665-8623	NULL	0	0	0	1
revista angolana de extensao universitaria	2707-5400	NULL	0	0	0	1
revue internationale du marketing et management strategique	2665-7341	NULL	0	0	0	1
tanzania veterinary journal	2714-206X	NULL	1	0	0	0
